obs_id,site_code,obs_year,obs_value,arable_prop,area,clay1_mean,forest_prop,grassland_prop,k1_mean,limestone_prop,livestock_density,other_prop,precip_mean,rock1_mean,sand1_mean,silt1_mean,slope_mean,soc1_mean,stream_density,twi_mean,urban_prop,water_prop,wetland_prop
230,SJA5768000,2017,2.407,0.427,221519650.0,19.21,0.419,0.091,39.392,0.662,0.081,0.026,773.566,4.997,67.834,12.956,1.671,6.639,0.001,9.724,0.025,0.005,0.007
231,SJA5768000,2018,1.961,0.427,221519650.0,19.21,0.419,0.091,39.392,0.662,0.081,0.026,553.657,4.997,67.834,12.956,1.671,6.639,0.001,9.724,0.025,0.005,0.007
232,SJA5768000,2019,2.241,0.427,221519650.0,19.21,0.419,0.091,39.392,0.662,0.081,0.026,693.087,4.997,67.834,12.956,1.671,6.639,0.001,9.724,0.025,0.005,0.007
233,SJA5768000,2020,2.742,0.427,221519650.0,19.21,0.419,0.091,39.392,0.662,0.081,0.026,725.083,4.997,67.834,12.956,1.671,6.639,0.001,9.724,0.025,0.005,0.007
234,SJA5940000,2018,1.027,0.0,18768000.0,24.841,0.737,0.0,73.017,1.0,0.0,0.009,650.496,0.002,64.598,10.561,0.644,12.359,0.001,10.345,0.0,0.0,0.254
235,SJA5960000,2016,4.092,0.343,673081825.0,24.762,0.411,0.066,28.079,0.817,0.112,0.026,764.102,4.722,54.916,20.322,1.141,10.004,0.001,9.736,0.05,0.006,0.097
236,SJA5960000,2017,3.225,0.343,673081825.0,24.762,0.411,0.066,28.079,0.817,0.112,0.026,872.887,4.722,54.916,20.322,1.141,10.004,0.001,9.736,0.05,0.006,0.097
237,SJA5960000,2018,3.043,0.343,673081825.0,24.762,0.411,0.066,28.079,0.817,0.112,0.026,578.756,4.722,54.916,20.322,1.141,10.004,0.001,9.736,0.05,0.006,0.097
238,SJA5960000,2019,3.383,0.343,673081825.0,24.762,0.411,0.066,28.079,0.817,0.112,0.026,843.763,4.722,54.916,20.322,1.141,10.004,0.001,9.736,0.05,0.006,0.097
239,SJA5960000,2020,3.575,0.343,673081825.0,24.762,0.411,0.066,28.079,0.817,0.112,0.026,852.835,4.722,54.916,20.322,1.141,10.004,0.001,9.736,0.05,0.006,0.097
240,SJA6005000,2016,1.757,0.279,1255787150.0,19.99,0.49,0.072,54.227,0.0,0.086,0.025,863.117,2.55,67.56,12.449,2.808,7.385,0.001,8.658,0.027,0.016,0.026
